last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Burnes, Corbin,669203,MIL,FC,Cutter,-1.2,-21,1815,55.4,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
Rodón, Carlos,607074,SF,FF,4-Seamer,-1.2,-22,1826,61.2,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
Gilbert, Logan,669302,SEA,FF,4-Seamer,-0.7,-12,1626,53.9,418,0.259,0.439,0.337,23.7,22.5,20.5,0.262,0.444,0.339,50.5
McKenzie, Triston,663474,CLE,FF,4-Seamer,-1.1,-17,1570,55.9,406,0.203,0.358,0.29,19.6,18.2,17.2,0.241,0.451,0.337,46.9
Cole, Gerrit,543037,NYY,FF,4-Seamer,-0.5,-8,1698,51.9,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
Valdez, Framber,664285,HOU,SIFT,Sinker,-0.3,-4,1478,49,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.439,0.358,47.1
Manaea, Sean,640455,SD,SIFT,Sinker,0.3,5,1511,60.9,391,0.239,0.427,0.324,23,22.8,20.6,0.239,0.416,0.321,44.7
Pivetta, Nick,601713,BOS,FF,4-Seamer,-0.6,-9,1572,51,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
Javier, Cristian,664299,HOU,FF,4-Seamer,-1.2,-18,1530,59.9,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
